Date,"Eyes Wide Shut"
2015-07,133772
2015-08,121582
2015-09,93157
2015-10,99713
2015-11,79982
2015-12,142481
2016-01,124584
2016-02,96764
2016-03,81558
2016-04,90046
2016-05,90795
2016-06,78668
2016-07,91893
2016-08,88837
2016-09,75823
2016-10,84882
2016-11,104250
2016-12,95461
2017-01,90100
2017-02,86530
2017-03,88892
2017-04,74209
2017-05,73135
2017-06,85284
2017-07,97094
2017-08,74961
2017-09,105167
2017-10,114959
2017-11,94825
2017-12,103854
2018-01,107480
2018-02,101485
2018-03,107101
2018-04,105232
2018-05,93234
2018-06,84046
2018-07,112231
2018-08,112620
2018-09,91108
2018-10,77218
2018-11,93860
2018-12,111334
2019-01,84093
2019-02,64066
2019-03,73009
2019-04,69236
2019-05,133877
2019-06,80104
2019-07,101296
2019-08,111024
2019-09,103552
2019-10,86905
2019-11,103390
2019-12,104189
2020-01,98552
2020-02,110408
2020-03,114742
2020-04,154238
2020-05,131172
2020-06,148912
2020-07,143077
2020-08,133035
2020-09,118747
2020-10,139509
2020-11,108453
2020-12,145762
2021-01,135750
2021-02,112893
2021-03,103702
2021-04,92864
2021-05,108876
2021-06,136716
2021-07,140476
2021-08,144616
2021-09,102918
2021-10,118074
2021-11,100340
2021-12,134299
2022-01,115401
2022-02,75434
2022-03,84657
2022-04,93383
2022-05,115269
2022-06,118029
2022-07,127433
2022-08,219899
2022-09,138708
2022-10,162506
2022-11,158186
2022-12,228904
2023-01,136422
2023-02,99541
2023-03,141533
2023-04,131479
2023-05,126728
2023-06,122228
2023-07,162140
2023-08,142448
2023-09,128753
2023-10,165035
2023-11,205992
2023-12,237672
2024-01,186870
2024-02,141830
2024-03,145986
2024-04,147819
2024-05,123381
2024-06,107234
2024-07,172795
2024-08,109742
2024-09,120717
2024-10,185294
2024-11,184075
2024-12,259775
2025-01,192831
2025-02,118828
2025-03,120616
2025-04,114290
2025-05,144222
2025-06,127172
2025-07,150293
2025-08,167314
2025-09,168212
